date,state_holiday,school_holiday
01.01.23,1,1
02.01.23,0,1
03.01.23,0,1
04.01.23,0,1
05.01.23,0,1
06.01.23,0,1
07.01.23,0,0
08.01.23,0,0
09.01.23,0,0
10.01.23,0,0
11.01.23,0,0
12.01.23,0,0
13.01.23,0,0
14.01.23,0,0
15.01.23,0,0
16.01.23,0,0
17.01.23,0,0
18.01.23,0,0
19.01.23,0,0
20.01.23,0,0
21.01.23,0,0
22.01.23,0,0
23.01.23,0,0
24.01.23,0,0
25.01.23,0,0
26.01.23,0,0
27.01.23,0,0
28.01.23,0,0
29.01.23,0,0
30.01.23,0,0
31.01.23,0,0
01.02.23,0,0
02.02.23,0,0
03.02.23,0,0
04.02.23,0,0
05.02.23,0,0
06.02.23,0,0
07.02.23,0,0
08.02.23,0,0
09.02.23,0,0
10.02.23,0,0
11.02.23,0,0
12.02.23,0,0
13.02.23,0,0
14.02.23,0,0
15.02.23,0,0
16.02.23,0,0
17.02.23,0,0
18.02.23,0,0
19.02.23,0,0
20.02.23,0,0
21.02.23,0,0
22.02.23,0,0
23.02.23,0,0
24.02.23,0,0
25.02.23,0,0
26.02.23,0,0
27.02.23,0,0
28.02.23,0,0
01.03.23,0,0
02.03.23,0,0
03.03.23,0,0
04.03.23,0,0
05.03.23,0,0
06.03.23,0,1
07.03.23,0,1
08.03.23,0,1
09.03.23,0,1
10.03.23,0,1
11.03.23,0,1
12.03.23,0,1
13.03.23,0,1
14.03.23,0,1
15.03.23,0,1
16.03.23,0,1
17.03.23,0,1
18.03.23,0,0
19.03.23,0,0
20.03.23,0,0
21.03.23,0,0
22.03.23,0,0
23.03.23,0,0
24.03.23,0,0
25.03.23,0,0
26.03.23,0,0
27.03.23,0,0
28.03.23,0,0
29.03.23,0,0
30.03.23,0,0
31.03.23,0,0
01.04.23,0,0
02.04.23,0,0
03.04.23,0,0
04.04.23,0,0
05.04.23,0,0
06.04.23,0,0
07.04.23,1,0
08.04.23,0,0
09.04.23,0,0
10.04.23,1,0
11.04.23,0,0
12.04.23,0,0
13.04.23,0,0
14.04.23,0,0
15.04.23,0,0
16.04.23,0,0
17.04.23,0,0
18.04.23,0,0
19.04.23,0,0
20.04.23,0,0
21.04.23,0,0
22.04.23,0,0
23.04.23,0,0
24.04.23,0,0
25.04.23,0,0
26.04.23,0,0
27.04.23,0,0
28.04.23,0,0
29.04.23,0,0
30.04.23,0,0
01.05.23,1,0
02.05.23,0,0
03.05.23,0,0
04.05.23,0,0
05.05.23,0,0
06.05.23,0,0
07.05.23,0,0
08.05.23,0,0
09.05.23,0,0
10.05.23,0,0
11.05.23,0,0
12.05.23,0,0
13.05.23,0,0
14.05.23,0,0
15.05.23,0,1
16.05.23,0,1
17.05.23,0,1
18.05.23,1,1
19.05.23,0,1
20.05.23,0,0
21.05.23,0,0
22.05.23,0,0
23.05.23,0,0
24.05.23,0,0
25.05.23,0,0
26.05.23,0,0
27.05.23,0,0
28.05.23,0,0
29.05.23,1,0
30.05.23,0,0
31.05.23,0,0
01.06.23,0,0
02.06.23,0,0
03.06.23,0,0
04.06.23,0,0
05.06.23,0,0
06.06.23,0,0
07.06.23,0,0
08.06.23,0,0
09.06.23,0,0
10.06.23,0,0
11.06.23,0,0
12.06.23,0,0
13.06.23,0,0
14.06.23,0,0
15.06.23,0,0
16.06.23,0,0
17.06.23,0,0
18.06.23,0,0
19.06.23,0,0
20.06.23,0,0
21.06.23,0,0
22.06.23,0,0
23.06.23,0,0
24.06.23,0,0
25.06.23,0,0
26.06.23,0,0
27.06.23,0,0
28.06.23,0,0
29.06.23,0,0
30.06.23,0,0
01.07.23,0,0
02.07.23,0,0
03.07.23,0,0
04.07.23,0,0
05.07.23,0,0
06.07.23,0,0
07.07.23,0,0
08.07.23,0,0
09.07.23,0,0
10.07.23,0,0
11.07.23,0,0
12.07.23,0,0
13.07.23,0,1
14.07.23,0,1
15.07.23,0,1
16.07.23,0,1
17.07.23,0,1
18.07.23,0,1
19.07.23,0,1
20.07.23,0,1
21.07.23,0,1
22.07.23,0,1
23.07.23,0,1
