STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1975;20221124;   10;   6.7;   2.8;    9;   0.0;   6;    0.300;   0;   5.5;   8.7; 1007.10;    6.0;   93.00;    9.5;    3.2;   -1.0;eor
       1975;20221125;   10;   7.7;   2.7;    9;   2.1;   6;    0.000;   0;   7.6;   9.0; 1013.80;    5.9;   96.00;    8.4;    3.2;    1.5;eor
       1975;20221126;   10;   6.7;   2.5;    9;   0.9;   6;    0.000;   0;   6.6;   9.1; 1025.00;    5.8;   99.00;    7.4;    1.9;   -1.0;eor
       1975;20221127;   10;   9.4;   3.7;    9;   0.1;   6;    1.300;   0;   6.0;   7.9; 1020.70;    4.8;   92.00;    6.1;    2.2;    0.1;eor
       1975;20221128;   10;  11.7;   5.1;    9;   2.5;   6;    0.000;   0;   7.5;   7.4; 1012.00;    4.9;   86.00;    5.6;    4.3;    3.5;eor
       1975;20221129;   10;   6.5;   3.2;    9;   0.1;   6;    0.000;   0;   7.9;   7.5; 1017.20;    4.2;   90.00;    4.7;    3.6;    3.0;eor
       1975;20221130;   10;   5.1;   2.8;    9;   0.2;   6;    0.000;   0;   7.8;   7.7; 1023.50;    4.2;   94.00;    4.7;    3.9;    3.5;eor
       1975;20221201;   10;   8.4;   2.8;    9;   0.6;   7;    0.000;   0;   7.9;   6.7; 1027.20;    2.8;   89.00;    4.0;    0.8;    0.7;eor
       1975;20221202;   10;   9.6;   3.0;    9;   0.0;   7;    0.000;   1;   7.8;   6.0; 1026.20;    1.4;   89.00;    3.3;    0.2;   -0.1;eor
       1975;20221203;   10;   9.8;   4.1;    9;   0.0;   0;    0.000;   0;   8.0;   5.3; 1023.10;    1.0;   81.00;    2.7;   -0.7;   -1.1;eor
       1975;20221204;   10;  10.3;   4.3;    9;   0.0;   6;    0.000;   0;   8.0;   6.1; 1020.20;    2.0;   86.00;    4.4;   -0.6;   -0.8;eor
       1975;20221205;   10;   9.8;   2.6;    9;   5.6;   6;    0.000;   0;   7.6;   7.3; 1017.40;    3.3;   94.00;    4.9;    2.1;    1.9;eor
       1975;20221206;   10;   6.7;   2.8;    9;   0.3;   6;    0.000;   0;   7.5;   7.1; 1014.10;    2.8;   95.00;    4.2;    0.0;   -2.1;eor
       1975;20221207;   10;  10.1;   3.0;    9;   1.8;   8;    0.800;   0;   7.4;   6.1; 1008.50;    1.8;   87.00;    4.4;   -1.2;   -3.3;eor
