date,max_wind_speed,mean_wind_speed,precipitation_height,precipitation_catgeory,mean_temperature,max_temperature,min_temperature
20221124,6.7,2.8,0.0,6,6.0,9.5,3.2
20221125,7.7,2.7,2.1,6,5.9,8.4,3.2
20221126,6.7,2.5,0.9,6,5.8,7.4,1.9
20221127,9.4,3.7,0.1,6,4.8,6.1,2.2
20221128,11.7,5.1,2.5,6,4.9,5.6,4.3
20221129,6.5,3.2,0.1,6,4.2,4.7,3.6
20221130,5.1,2.8,0.2,6,4.2,4.7,3.9
20221201,8.4,2.8,0.6,7,2.8,4.0,0.8
20221202,9.6,3.0,0.0,7,1.4,3.3,0.2
20221203,9.8,4.1,0.0,0,1.0,2.7,-0.7
20221204,10.3,4.3,0.0,6,2.0,4.4,-0.6
20221205,9.8,2.6,5.6,6,3.3,4.9,2.1
20221206,6.7,2.8,0.3,6,2.8,4.2,0.0
20221207,10.1,3.0,1.8,8,1.8,4.4,-1.2
20221208,7.5,2.0,4.4,8,0.7,2.0,-2.2
20221209,6.2,2.9,0.0,0,-0.1,2.3,-2.1
20221210,5.1,2.2,0.0,8,-1.4,-0.6,-2.5
20221211,4.1,1.7,0.0,8,-2.4,-0.4,-6.3
20221212,3.1,1.0,0.0,0,-5.3,-2.1,-8.5
20221213,6.2,2.1,0.0,7,-3.8,-0.2,-8.0
20221214,5.7,2.3,0.0,7,-5.3,-1.2,-8.2
20221215,7.2,2.6,0.2,8,-3.1,1.0,-8.2
20221216,3.1,1.2,0.0,0,-3.1,-1.2,-6.4
20221217,7.5,1.9,0.0,0,-4.9,0.4,-9.1
20221218,12.9,4.4,0.0,8,-4.5,-2.1,-7.5
20221219,12.2,6.2,6.5,6,2.7,8.0,-2.6
20221220,13.4,6.1,6.2,6,9.3,11.7,7.0
20221221,9.4,3.2,0.1,6,7.2,9.1,4.5
20221222,8.6,3.5,3.1,6,6.9,8.8,4.0
20221223,5.1,2.0,3.9,6,5.7,6.5,4.2
20221224,6.0,2.5,2.7,6,5.6,8.4,4.1
20221225,6.3,2.6,5.3,6,5.5,7.2,1.8
20221226,16.6,4.4,1.1,6,6.6,9.6,3.4
20221227,12.5,5.5,3.1,6,4.2,6.2,2.9
20221228,15.3,7.7,7.7,6,7.1,8.7,4.8
20221229,17.0,7.0,4.3,6,8.9,10.8,5.5
20221230,17.5,7.0,4.1,6,7.4,10.5,4.9
20221231,16.6,6.1,11.0,6,12.4,15.4,10.1
20230101,18.7,7.7,0.9,6,13.3,15.7,10.0
20230102,16.3,5.5,2.8,6,9.9,13.1,6.0
20230103,9.8,3.8,3.4,6,5.0,6.6,2.3
20230104,17.5,7.9,12.3,6,9.4,11.6,6.3
20230105,18.0,6.0,1.4,6,7.5,10.0,3.3
20230106,12.5,4.8,2.7,6,7.6,10.0,3.4
20230107,10.3,4.9,0.0,6,8.9,11.2,3.6
20230108,9.8,4.8,3.9,6,8.6,10.5,4.2
20230109,9.6,3.3,2.3,6,6.3,7.3,3.9
20230110,14.7,5.5,4.9,6,6.0,7.3,4.3
20230111,16.6,6.2,2.1,6,8.0,9.9,5.5
20230112,19.9,7.7,11.2,6,9.2,10.6,7.4
20230113,17.0,7.9,5.2,6,7.8,10.4,6.6
20230114,16.3,7.3,9.4,6,7.1,10.4,5.5
20230115,23.1,8.9,1.7,6,5.9,7.0,4.6
20230116,12.9,6.2,2.5,6,4.9,5.8,3.6
20230117,-999.0,-999.0,1.3,4,2.5,4.1,-1.5
20230118,-999.0,-999.0,0.0,4,0.1,2.6,-2.7
20230119,-999.0,-999.0,0.1,4,1.9,3.9,-1.1
20230120,-999.0,-999.0,0.0,4,0.8,3.6,-1.3
20230121,-999.0,-999.0,0.0,0,1.4,4.1,0.1
20230122,-999.0,-999.0,0.0,4,2.6,4.3,1.0
20230123,-999.0,-999.0,0.0,4,2.6,3.6,1.7
20230124,-999.0,-999.0,0.0,0,1.7,2.5,0.1
20230125,-999.0,-999.0,0.0,4,-1.3,0.2,-2.4
20230126,-999.0,-999.0,0.0,4,0.9,4.6,-1.8
20230127,-999.0,-999.0,0.0,4,2.7,4.4,0.3
20230128,7.7,2.6,0.6,8,0.9,2.6,-3.0
20230129,14.7,5.8,4.3,6,3.2,4.0,2.2
20230130,21.4,8.2,4.9,6,5.2,6.7,2.5
20230131,23.1,6.7,13.9,6,4.9,7.7,2.4
20230201,17.8,7.2,8.1,6,5.2,6.5,3.0
20230202,15.6,5.2,6.7,6,5.4,8.3,3.0
20230203,23.1,9.3,7.8,6,7.0,8.4,2.9
20230204,6.2,2.3,0.0,0,1.8,5.2,-1.8
20230205,8.6,3.1,0.0,8,0.4,2.7,-2.7
20230206,5.1,1.6,0.0,0,-0.6,3.7,-4.4
20230207,5.1,1.7,0.0,0,-1.6,2.5,-5.9
20230208,10.3,3.7,0.0,0,-0.4,5.0,-4.9
20230209,11.0,4.6,0.0,6,0.7,3.4,-3.9
20230210,13.2,5.1,0.0,6,4.7,7.7,2.4
20230211,14.2,6.0,0.1,6,7.1,8.2,5.5
20230212,8.7,2.7,0.3,6,7.1,8.1,6.2
20230213,4.6,1.7,0.0,0,6.2,7.3,5.1
20230214,6.5,2.4,0.0,0,6.3,10.7,2.9
20230215,5.7,2.5,0.0,0,4.0,8.4,1.2
20230216,8.2,3.8,2.0,6,5.5,8.0,0.6
20230217,23.5,8.2,4.6,6,9.1,12.0,6.6
20230218,16.3,3.9,13.3,6,5.6,9.6,3.2
20230219,10.3,3.4,0.1,6,4.6,8.0,2.0
20230220,18.0,8.0,10.3,6,8.1,10.3,5.0
20230221,11.0,4.7,0.4,6,8.2,10.4,7.2
20230222,9.8,3.7,0.0,0,8.7,11.4,7.1
20230223,10.8,3.6,1.1,6,6.5,8.1,3.4
20230224,15.6,6.2,3.5,8,4.2,6.8,2.2
20230225,17.7,6.1,0.1,8,1.9,4.4,-2.1
20230226,7.7,3.0,0.0,0,-0.1,4.9,-4.7
20230227,6.9,1.8,0.0,0,0.9,6.7,-6.2
20230228,5.0,1.2,0.0,0,2.5,7.9,-2.9
20230301,7.2,2.0,0.0,0,1.4,7.0,-3.2
20230302,5.1,1.8,0.0,0,0.4,3.0,-2.4
20230303,12.5,3.7,0.0,6,2.4,6.0,-1.7
20230304,13.4,6.7,0.0,8,4.9,6.7,2.3
20230305,13.5,3.8,3.0,8,2.2,5.4,0.0
20230306,11.7,2.9,1.6,8,1.6,5.3,-3.1
20230307,18.5,6.9,0.7,8,2.3,5.6,-1.8
20230308,7.2,2.8,0.0,8,0.7,3.8,-3.1
20230309,7.2,2.9,0.8,8,1.4,4.5,-1.2
20230310,10.5,4.6,8.1,8,0.7,1.9,-0.1
20230311,18.7,4.7,1.1,8,1.3,5.9,-2.1
20230312,11.8,4.1,5.2,6,2.3,6.9,-1.6
20230313,20.1,7.4,2.7,6,11.5,16.4,6.6
20230314,19.2,7.2,5.1,8,6.6,11.4,0.6
20230315,19.0,4.2,1.9,8,2.3,7.0,-2.1
20230316,15.3,6.1,0.0,0,4.6,9.8,-2.3
20230317,10.3,5.1,0.1,6,10.0,16.8,4.2
20230318,9.6,3.0,0.1,6,11.7,16.1,9.2
20230319,8.1,2.4,0.1,6,10.9,16.2,6.8
20230320,9.6,3.5,0.4,6,8.1,10.8,6.9
20230321,8.9,4.1,2.7,6,9.0,10.5,7.2
20230322,15.9,7.0,4.3,6,11.1,13.6,8.5
20230323,17.8,5.8,17.2,6,11.1,13.9,8.3
20230324,18.0,6.8,4.1,6,11.4,14.8,8.0
20230325,16.1,5.8,15.6,6,8.2,10.4,6.2
20230326,12.3,5.0,0.0,6,6.2,9.4,1.1
20230327,19.2,5.2,3.2,8,2.7,6.8,-0.2
20230328,11.8,3.3,0.1,6,3.6,7.7,-3.3
20230329,10.1,3.8,0.3,6,7.4,10.8,3.4
20230330,16.3,5.0,10.6,6,11.4,15.6,8.7
20230331,8.7,3.6,7.1,6,10.7,12.5,9.8
20230401,15.1,6.6,1.9,6,6.1,10.0,1.1
20230402,14.9,5.4,0.0,0,3.7,8.0,-1.0
20230403,9.3,2.7,0.0,0,2.7,8.6,-3.6
20230404,6.2,1.5,0.0,0,2.4,8.1,-2.8
20230405,7.2,1.7,0.0,6,3.7,9.8,-3.8
20230406,11.3,4.2,0.0,0,6.5,12.8,-1.3
20230407,11.3,5.4,0.0,6,6.5,11.2,2.8
20230408,8.7,3.4,0.0,0,5.9,6.8,4.7
20230409,7.2,2.6,0.0,0,8.1,13.2,5.8
20230410,15.6,6.7,2.2,6,11.8,17.6,5.1
20230411,15.3,4.9,3.4,6,7.3,10.1,2.3
20230412,13.4,5.2,8.7,6,7.0,10.4,2.9
20230413,16.8,4.6,0.8,6,7.0,13.2,2.5
20230414,8.7,2.9,1.2,6,7.5,12.9,0.6
20230415,12.2,4.3,0.0,6,9.6,14.2,6.9
20230416,7.7,3.0,0.0,6,9.1,10.9,7.1
20230417,13.7,4.0,0.0,0,9.2,14.2,5.1
